CpuTime,PID,StartingBurstTime,EndingBurstTime,CompletionTime
0,4,404,364,0
43,21,336,296,0
86,2,991,951,0
129,10,573,533,0
172,2,951,911,0
215,16,867,827,0
258,12,874,834,0
301,25,71,31,0
344,22,799,759,0
387,25,31,0,418
421,16,827,787,0
464,20,423,383,0
507,2,911,871,0
550,1,931,891,0
593,8,210,170,0
636,16,787,747,0
679,15,198,158,0
722,14,524,484,0
765,21,296,256,0
808,22,759,719,0
851,16,747,707,0
894,8,170,130,0
937,8,130,90,0
980,21,256,216,0
1023,22,719,679,0
1066,21,216,176,0
1109,15,158,118,0
1152,20,383,343,0
1195,24,680,640,0
1238,20,343,303,0
1281,15,118,78,0
1324,20,303,263,0
1367,2,871,831,0
1410,24,640,600,0
1453,20,263,223,0
1496,21,176,136,0
1539,22,679,639,0
1582,8,90,50,0
1625,18,30,0,1655
1658,16,707,667,0
1701,1,891,851,0
1744,12,834,794,0
1787,22,639,599,0
1830,23,596,556,0
1873,15,78,38,0
1916,21,136,96,0
1959,24,600,560,0
2002,21,96,56,0
2045,27,392,352,0
2088,15,38,0,2126
2129,1,851,811,0
2172,2,831,791,0
2215,21,56,16,0
2258,24,560,520,0
2301,20,223,183,0
2344,6,760,720,0
2387,16,667,627,0
2430,22,599,559,0
2473,16,627,587,0
2516,20,183,143,0
2559,11,225,185,0
2602,2,791,751,0
2645,10,533,493,0
2688,23,556,516,0
2731,10,493,453,0
2774,21,16,0,2790
2793,2,751,711,0
2836,20,143,103,0
2879,1,811,771,0
2922,11,185,145,0
2965,10,453,413,0
3008,10,413,373,0
3051,24,520,480,0
3094,26,754,714,0
3137,11,145,105,0
3180,4,364,324,0
3223,10,373,333,0
3266,16,587,547,0
3309,22,559,519,0
3352,12,794,754,0
3395,2,711,671,0
3438,23,516,476,0
3481,1,771,731,0
3524,2,671,631,0
3567,22,519,479,0
3610,3,683,643,0
3653,11,105,65,0
3696,2,631,591,0
3739,10,333,293,0
3782,3,643,603,0
3825,22,479,439,0
3868,2,591,551,0
3911,11,65,25,0
3954,2,551,511,0
3997,16,547,507,0
4040,16,507,467,0
4083,20,103,63,0
4126,1,731,691,0
4169,22,439,399,0
4212,20,63,23,0
4255,20,23,0,4278
4281,24,480,440,0
4324,8,50,10,0
4367,6,720,680,0
4410,22,399,359,0
4453,16,467,427,0
4496,22,359,319,0
4539,22,319,279,0
4582,2,511,471,0
4625,12,754,714,0
4668,9,845,805,0
4711,1,691,651,0
4754,8,10,0,4764
4767,23,476,436,0
4810,2,471,431,0
4853,2,431,391,0
4896,22,279,239,0
4939,4,324,284,0
4982,27,352,312,0
5025,23,436,396,0
5068,22,239,199,0
5111,10,293,253,0
5154,1,651,611,0
5197,27,312,272,0
5240,11,25,0,5265
5268,17,897,857,0
5311,2,391,351,0
5354,24,440,400,0
5397,22,199,159,0
5440,24,400,360,0
5483,24,360,320,0
5526,27,272,232,0
5569,1,611,571,0
5612,2,351,311,0
5655,22,159,119,0
5698,10,253,213,0
5741,10,213,173,0
5784,6,680,640,0
5827,23,396,356,0
